Fe+16        26        17      10180000.(2P)
    1  2s2 2p6          (1)0( 0.0)               0.0
    2  2s2 2p5 3s1      (3)1( 2.0)         5838379.0
    3  2s2 2p5 3s1      (1)1( 1.0)         5853927.0
    4  2s2 2p5 3s1      (3)1( 0.0)         5942383.0
    5  2s2 2p5 3s1      (3)1( 1.0)         5952415.0
    6  2s2 2p5 3p1      (3)0( 1.0)         6083057.0
    7  2s2 2p5 3p1      (3)2( 2.0)         6111991.0
    8  2s2 2p5 3p1      (3)2( 3.0)         6125552.0
    9  2s2 2p5 3p1      (1)1( 1.0)         6134566.0
   10  2s2 2p5 3p1      (3)1( 2.0)         6148971.0
   11  2s2 2p5 3p1      (3)1( 0.0)         6194727.0
   12  2s2 2p5 3p1      (3)2( 1.0)         6211977.0
   13  2s2 2p5 3p1      (3)1( 1.0)         6237877.0
   14  2s2 2p5 3p1      (1)2( 2.0)         6241452.0
   15  2s2 2p5 3p1      (1)0( 0.0)         6363140.0
   16  2s2 2p5 3d1      (3)1( 0.0)         6453949.0
   17  2s2 2p5 3d1      (3)1( 1.0)         6462383.0
   18  2s2 2p5 3d1      (3)1( 2.0)         6477821.0
   19  2s2 2p5 3d1      (3)3( 4.0)         6479085.0
   20  2s2 2p5 3d1      (3)3( 3.0)         6485381.0
   21  2s2 2p5 3d1      (1)2( 2.0)         6499155.0
   22  2s2 2p5 3d1      (3)2( 3.0)         6508274.0
   23  2s2 2p5 3d1      (3)2( 1.0)         6546780.0
   24  2s2 2p5 3d1      (3)3( 2.0)         6589044.0
   25  2s2 2p5 3d1      (3)2( 2.0)         6595465.0
   26  2s2 2p5 3d1      (1)3( 3.0)         6600343.0
   27  2s2 2p5 3d1      (1)1( 1.0)         6660755.0
   28  2s1 2p6 3s1      (3)0( 1.0)         6943101.0
   29  2s1 2p6 3s1      (1)0( 0.0)         6996458.0
   30  2s1 2p6 3p1      (3)1( 0.0)         7208669.0
   31  2s1 2p6 3p1      (3)1( 1.0)         7212580.0
   32  2s1 2p6 3p1      (3)1( 2.0)         7231776.0
   33  2s1 2p6 3p1      (1)1( 1.0)         7247249.0
   34  2s1 2p6 3d1      (3)2( 1.0)         7570510.0
   35  2s1 2p6 3d1      (3)2( 2.0)         7572004.0
   36  2s1 2p6 3d1      (3)2( 3.0)         7574450.0
   37  2s1 2p6 3d1      (1)2( 2.0)         7615255.0
   38  2s2 2p5 4s1      (3)1( 2.0)         7867815.0
   39  2s2 2p5 4s1      (1)1( 1.0)         7872910.0
   40  2s2 2p5 4p1      (3)0( 1.0)         7969726.0
   41  2s2 2p5 4s1      (3)1( 0.0)         7972328.0
   42  2s2 2p5 4s1      (3)1( 1.0)         7975029.0
   43  2s2 2p5 4p1      (3)2( 2.0)         7976775.0
   44  2s2 2p5 4p1      (3)2( 3.0)         7982472.0
   45  2s2 2p5 4p1      (1)1( 1.0)         7985573.0
   46  2s2 2p5 4p1      (3)1( 2.0)         7990328.0
   47  2s2 2p5 4p1      (3)1( 0.0)         8022090.0
   48  2s2 2p5 4p1      (3)2( 1.0)         8079245.0
   49  2s2 2p5 4p1      (3)1( 1.0)         8088839.0
   50  2s2 2p5 4p1      (1)2( 2.0)         8090797.0
   51  2s2 2p5 4d1      (3)1( 0.0)         8104240.0
   52  2s2 2p5 4d1      (3)1( 1.0)         8107977.0
   53  2s2 2p5 4d1      (3)3( 4.0)         8112691.0
   54  2s2 2p5 4d1      (3)1( 2.0)         8113938.0
   55  2s2 2p5 4d1      (3)3( 3.0)         8114979.0
   56  2s2 2p5 4p1      (1)0( 0.0)         8117198.0
   57  2s2 2p5 4d1      (1)2( 2.0)         8119891.0
   58  2s2 2p5 4d1      (3)2( 3.0)         8123096.0
   59  2s2 2p5 4d1      (3)2( 1.0)         8144498.0
   60  2s2 2p5 4f1      (3)2( 1.0)         8175623.0
   61  2s2 2p5 4f1      (1)4( 4.0)         8175891.0
   62  2s2 2p5 4f1      (3)4( 5.0)         8176034.0
   63  2s2 2p5 4f1      (3)2( 2.0)         8176789.0
   64  2s2 2p5 4f1      (3)3( 3.0)         8179543.0
   65  2s2 2p5 4f1      (1)2( 2.0)         8179941.0
   66  2s2 2p5 4f1      (1)3( 3.0)         8180275.0
   67  2s2 2p5 4f1      (3)3( 4.0)         8180915.0
   68  2s2 2p5 4d1      (3)3( 2.0)         8218425.0
   69  2s2 2p5 4d1      (3)2( 2.0)         8220486.0
