Ar+17        18        18  35702197.4161(1s)
    1 511                 (2)0( 0.5)         0.0000    {X}
    2 512                 (2)0( 0.5)  26774006.9331    {X}
    3 513                 (2)1( 2.5)  26800049.2280    {X}
    4 514                 (2)0( 0.5)  31743522.7668    {X}
    5 515                 (2)1( 2.5)  31751236.2297    {X}
    6 516                 (2)2( 4.5)  31757353.1985    {X}
    7 517                 (2)0( 0.5)  33481257.2416    {X}
    8 518                 (2)1( 2.5)  33484509.1868    {X}
    9 519                 (2)2( 4.5)  33487090.3987    {X}
   10 51A                 (2)3( 6.5)  33488189.0750    {X}
   11 51B                 (2)0( 0.5)  34284901.5682    {X}
   12 51C                 (2)1( 2.5)  34286565.6347    {X}
   13 51D                 (2)2( 4.5)  34287887.1348    {X}
   14 51E                 (2)3( 6.5)  34288449.7904    {X}
   15 51F                 (2)4( 8.5)  34288761.8077    {X}
   -1    325.425 81.4427 81.2054 36.1572 36.0869 36.0311 20.3218 20.2921 20.2686 20.2586 12.9984 12.9832 12.9712 12.9661 12.9632
18.00    3       3.24+04 6.48+04 1.62+05 3.24+05 6.48+05 1.62+06 3.24+06 6.48+06 1.62+07 3.24+07 6.48+07 1.62+08 3.24+08 6.48+08
   2   1 1.00-30 2.21-03 2.21-03 2.21-03 2.21-03 2.22-03 2.22-03 2.23-03 2.24-03 2.27-03 2.32-03 2.38-03 2.48-03 2.56-03 2.63-03 2.77-03
   3   1 6.58+13 9.04-03 9.04-03 9.04-03 9.05-03 9.07-03 9.15-03 9.30-03 9.64-03 1.08-02 1.26-02 1.57-02 2.22-02 2.85-02 3.56-02-1.35-02
   3   2 9.87+05 7.77-01 7.78-01 7.99-01 8.66-01 9.99-01 1.27+00 1.52+00 1.78+00 2.13+00 2.38+00 2.61+00 2.89+00 3.08+00 3.26+00-2.21-01
   4   1 1.00-30 4.72-04 4.72-04 4.72-04 4.72-04 4.71-04 4.71-04 4.70-04 4.70-04 4.70-04 4.73-04 4.79-04 4.95-04 5.08-04 5.20-04 5.46-04
   4   2 1.00-30 2.64-02 2.64-02 2.64-02 2.65-02 2.66-02 2.70-02 2.75-02 2.83-02 2.94-02 3.03-02 3.11-02 3.18-02 3.21-02 3.23-02 3.27-02
   4   3 6.87+11 6.30-03 6.30-03 6.29-03 6.25-03 6.17-03 6.01-03 5.96-03 6.29-03 8.22-03 1.10-02 1.40-02 1.78-02 2.10-02 2.48-02-7.49-03
   5   1 1.76+13 1.96-03 1.96-03 1.96-03 1.96-03 1.96-03 1.96-03 1.96-03 1.99-03 2.13-03 2.39-03 2.87-03 3.91-03 4.93-03 6.06-03-2.17-03
   5   2 2.36+12 2.56-02 2.56-02 2.57-02 2.60-02 2.68-02 2.94-02 3.43-02 4.43-02 7.13-02 1.03-01 1.35-01 1.73-01 2.03-01 2.39-01-7.56-02
   5   3 8.17+08 1.09-01 1.09-01 1.09-01 1.09-01 1.08-01 1.07-01 1.06-01 1.05-01 1.04-01 1.05-01 1.07-01 1.07-01 1.07-01 1.07-01 1.08-01
   5   4 1.54+05 6.26+00 6.27+00 6.45+00 6.99+00 7.95+00 9.69+00 1.12+01 1.27+01 1.46+01 1.60+01 1.72+01 1.88+01 1.98+01 2.08+01-1.33+00
   6   1 2.00+10 3.46-04 3.46-04 3.46-04 3.44-04 3.40-04 3.30-04 3.16-04 2.96-04 2.68-04 2.57-04 2.62-04 2.94-04 3.26-04 3.54-04 4.13-04
   6   2 1.78+09 5.49-02 5.49-02 5.49-02 5.50-02 5.54-02 5.68-02 5.94-02 6.39-02 7.31-02 8.33-02 9.39-02 1.00-01 9.99-02 9.94-02 1.02-01
   6   3 6.81+12 3.31-01 3.31-01 3.31-01 3.33-01 3.36-01 3.50-01 3.75-01 4.29-01 5.66-01 7.25-01 8.93-01 1.08+00 1.23+00 1.40+00-3.68-01
   6   4 2.17-03 3.60-01 3.60-01 3.59-01 3.58-01 3.54-01 3.44-01 3.35-01 3.27-01 3.18-01 3.13-01 3.06-01 2.91-01 2.82-01 2.79-01 2.93-01
   6   5 5.79+04 8.70+00 8.71+00 8.95+00 9.63+00 1.08+01 1.31+01 1.50+01 1.69+01 1.94+01 2.11+01 2.27+01 2.46+01 2.59+01 2.72+01-1.66+00
   7   1 1.00-30 1.80-04 1.80-04 1.80-04 1.80-04 1.80-04 1.79-04 1.79-04 1.78-04 1.78-04 1.78-04 1.79-04 1.84-04 1.89-04 1.93-04 2.03-04
   7   2 1.00-30 5.27-03 5.27-03 5.27-03 5.28-03 5.29-03 5.34-03 5.40-03 5.51-03 5.71-03 5.86-03 6.00-03 6.16-03 6.25-03 6.31-03 6.36-03
   7   3 2.80+11 2.18-03 2.18-03 2.17-03 2.15-03 2.11-03 1.99-03 1.87-03 1.77-03 1.84-03 2.21-03 2.73-03 3.35-03 3.80-03 4.35-03-1.24-03
   7   4 1.00-30 1.20-01 1.20-01 1.20-01 1.21-01 1.22-01 1.24-01 1.28-01 1.31-01 1.36-01 1.40-01 1.42-01 1.40-01 1.37-01 1.36-01 1.41-01
   7   5 1.99+11 2.00-02 2.00-02 2.00-02 2.01-02 2.06-02 2.33-02 2.94-02 4.16-02 6.44-02 8.30-02 1.06-01 1.51-01 1.90-01 2.29-01-5.06-02
   7   6 3.56+07 1.82-02 1.82-02 1.81-02 1.79-02 1.74-02 1.65-02 1.57-02 1.52-02 1.54-02 1.58-02 1.57-02 1.49-02 1.48-02 1.51-02 1.71-02
   8   1 7.16+12 7.51-04 7.51-04 7.51-04 7.51-04 7.50-04 7.49-04 7.50-04 7.56-04 7.96-04 8.82-04 1.04-03 1.40-03 1.74-03 2.13-03-7.53-04
   8   2 1.02+12 6.25-03 6.25-03 6.26-03 6.30-03 6.41-03 6.79-03 7.48-03 8.93-03 1.29-02 1.84-02 2.51-02 3.19-02 3.65-02 4.20-02-1.33-02
   8   3 3.51+08 2.59-02 2.59-02 2.59-02 2.57-02 2.54-02 2.47-02 2.38-02 2.28-02 2.17-02 2.12-02 2.11-02 2.12-02 2.12-02 2.12-02 2.11-02
   8   4 3.21+11 5.94-02 5.94-02 6.00-02 6.21-02 6.76-02 8.86-02 1.23-01 1.84-01 2.93-01 3.83-01 4.90-01 6.83-01 8.55-01 1.03+00-2.40-01
   8   5 8.73+07 4.23-01 4.23-01 4.23-01 4.25-01 4.28-01 4.37-01 4.46-01 4.59-01 4.81-01 4.98-01 5.07-01 5.05-01 5.00-01 4.97-01 5.00-01
   8   6 3.76+10 7.67-02 7.67-02 7.63-02 7.50-02 7.25-02 6.80-02 6.59-02 6.80-02 7.67-02 8.55-02 9.76-02 1.21-01 1.42-01 1.64-01-2.88-02
   8   7 3.85+04 2.61+01 2.61+01 2.68+01 2.85+01 3.17+01 3.74+01 4.21+01 4.68+01 5.28+01 5.69+01 6.11+01 6.67+01 7.08+01 7.45+01-4.42+00
   9   1 1.10+10 1.78-04 1.78-04 1.78-04 1.77-04 1.75-04 1.70-04 1.62-04 1.51-04 1.35-04 1.28-04 1.28-04 1.41-04 1.55-04 1.68-04 1.96-04
   9   2 1.85+08 9.82-03 9.82-03 9.81-03 9.79-03 9.73-03 9.62-03 9.56-03 9.63-03 1.01-02 1.08-02 1.17-02 1.26-02 1.29-02 1.29-02 1.29-02
   9   3 2.18+12 6.81-02 6.81-02 6.81-02 6.81-02 6.81-02 6.86-02 7.02-02 7.49-02 8.90-02 1.09-01 1.35-01 1.61-01 1.78-01 1.98-01-4.79-02
   9   4 1.30+08 1.38-01 1.38-01 1.39-01 1.40-01 1.45-01 1.58-01 1.73-01 1.96-01 2.37-01 2.67-01 2.75-01 2.45-01 2.25-01 2.23-01 2.83-01
